S.No,Health Unit District,Session planned for Covishield,Session held for Covishield,Achievement towards vaccination of 1st Dosage Covishield to HCW,Achievement towards vaccination of 2nd Dosage Covishield to HCW,Achievement towards vaccination of 1st Dosage Covishield to FLW,Achievement towards vaccination of 2nd Dosage Covishield to FLW,Achievement towards vaccination of 1st Dosage Covishield to beneficiaries of 18 years and less than 44 years age group,Achievement towards vaccination of 2nd Dosage Covishield to beneficiaries of 18 years and less than 44 years age group,Achievement towards vaccination of 1st Dosage Covishield to beneficiaries of 45 years and less than 60 years age group with Comorbidities,Achievement towards vaccination of 2nd Dosage Covishield to beneficiaries of 45 years and less than 60 years age group with Comorbidities,Achievement towards vaccination of 1st Dosage Covishield to 60+ years beneficiaries with Comorbidities,Achievement towards vaccination of 2nd Dosage Covishield to 60+ years beneficiaries with Comorbidities,Total Achievement of vaccination to beneficiaries under 1st Dose of Covishield,Total Achievement of vaccination to beneficiaries under 2nd Dose of Covishield,Session planned for Covaxin,Session held for Covaxin,Achievement towards vaccination of 1st Dosage Covaxin to HCW,Achievement towards vaccination of 2nd Dosage Covaxin to HCW,Achievement towards vaccination of 1st Dosage Covaxin to FLW,Achievement towards vaccination of 2nd Dosage Covaxin to FLW,Achievement towards vaccination of 1st Dosage Covaxin to beneficiaries of 18 years and less than 44 years age group,Achievement towards vaccination of 2nd Dosage Covaxin to beneficiaries of 18 years and less than 44 years age group,Achievement towards vaccination of 1st Dosage Covaxin to beneficiaries of 45 years and less than 60 years age group with Comorbidities,Achievement towards vaccination of 2nd Dosage Covaxin to beneficiaries of 45 years and less than 60 years age group with Comorbidities,Achievement towards vaccination of 1st Dosage Covaxin to 60+ years beneficiaries with Comorbidities,Achievement towards vaccination of 2nd Dosage Covaxin to 60+ years beneficiaries with Comorbidities,Total Achievement of vaccination to beneficiaries under 1st Dose of Covaxin,Total Achievement of vaccination to beneficiaries under 2nd Dose of Covaxin,Total Session planned for Covishield and Covaxin,Total Session held for Covishield and Covaxin,Total Achievement towards vaccination of 1st Dosage Covishield and Covaxin to HCW,Total Achievement towards vaccination of 2nd Dosage Covishield and Covaxin to HCW,Total Achievement towards vaccination of 1st Dosage Covishield and Covaxin to FLW,Total Achievement towards vaccination of 2nd Dosage Covishield and Covaxin to FLW,Total Achievement towards vaccination of 1st Dosage Covishield and Covaxin to beneficiaries of 18 years and less than 44 years age group,Total Achievement towards vaccination of 2nd Dosage Covishield and Covaxin to beneficiaries of 18 years and less than 44 years age group,Total Achievement towards vaccination of 1st Dosage Covishield and Covaxin to beneficiaries of 45 years and less than 60 years age group with Comorbidities,Total Achievement towards vaccination of 2nd Dosage Covishield and Covaxin to beneficiaries of 45 years and less than 60 years age group with Comorbidities,Total Achievement towards vaccination of 1st Dosage Covishield and Covaxin to 60+ years beneficiaries with Comorbidities,Total Achievement towards vaccination of 2nd Dosage Covishield and Covaxin to 60+ years beneficiaries with Comorbidities,Total Achievement towards vaccination to beneficiaries under 1st Dose of Covishield and Covaxin,Total Achievement towards vaccination to beneficiaries under 2nd Dose of Covishield and Covaxin,Total Achievement towards vaccination of Covishield and Covaxin (1st and 2nd Dose)
1,Aranthangi,41,41,0,2,2,5,36,0,43,0,17,1,98,8,1,1,1,2,0,4,23,0,4,24,0,5,28,35,42,42,1,4,2,9,59,0,47,24,17,6,126,43,169
2,Ariyalur,66,66,15,7,5,10,585,0,281,17,32,8,918,42,1,1,0,0,0,0,40,0,0,0,0,0,40,0,67,67,15,7,5,10,625,0,281,17,32,8,958,42,1000
3,Attur,51,51,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,6,4,0,0,6,4,67,67,0,0,0,0,0,0,6,4,0,0,6,4,10
4,Chengalpet,30,30,10,0,1,0,346,0,553,0,259,1,1169,1,6,6,0,0,0,4,834,0,0,36,0,20,834,60,36,36,10,0,1,4,1180,0,553,36,259,21,2003,61,2064
5,Chennai,90,90,27,3,110,7,2042,0,2032,255,552,58,4763,323,24,24,38,75,15,40,1951,0,238,150,174,67,2416,332,114,114,65,78,125,47,3993,0,2270,405,726,125,7179,655,7834
6,Cheyyar,52,52,0,0,0,0,246,0,15,8,5,5,266,13,13,13,1,2,0,2,67,0,1,27,1,16,70,47,65,65,1,2,0,2,313,0,16,35,6,21,336,60,396
7,Coimbatore,55,55,58,13,288,9,0,0,2828,107,1207,75,4381,204,30,30,9,17,10,29,1580,0,179,206,56,125,1834,377,85,85,67,30,298,38,1580,0,3007,313,1263,200,6215,581,6796
8,Cuddalore,25,25,10,20,4,5,1250,0,99,15,0,3,1363,43,2,2,0,13,3,12,0,0,0,199,0,133,3,357,27,27,10,33,7,17,1250,0,99,214,0,136,1366,400,1766
9,Dharmapuri,56,56,0,0,0,0,212,0,26,26,15,15,253,41,9,9,0,15,1,10,186,0,1,37,0,13,188,75,65,65,0,15,1,10,398,0,27,63,15,28,441,116,557
10,Dindigul,2,2,0,0,0,0,130,0,0,0,0,0,130,0,1,1,0,1,0,2,0,0,0,22,0,8,0,33,3,3,0,1,0,2,130,0,0,22,0,8,130,33,163
11,Erode,85,85,0,2,2,0,0,0,430,10,175,0,607,12,5,5,0,0,0,0,0,0,0,5,0,6,0,11,90,90,0,2,2,0,0,0,430,15,175,6,607,23,630
12,Kallakurichi,50,50,0,1,0,1,393,0,50,0,15,0,458,2,4,4,0,0,6,0,674,0,3,30,0,13,683,43,54,54,0,1,6,1,1067,0,53,30,15,13,1141,45,1186
13,Kanchipuram,30,30,0,1,5,0,42,0,302,16,76,1,425,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,1,5,0,42,0,302,16,76,1,425,18,443
14,Karur,45,45,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,162,0,152,63,1,0,315,63,47,47,0,0,0,0,162,0,152,63,1,0,315,63,378
15,Kovilpatti,25,25,0,0,0,0,1000,0,267,19,136,0,1403,19,2,2,1,9,1,0,36,0,66,9,26,5,130,23,27,27,1,9,1,0,1036,0,333,28,162,5,1533,42,1575
16,Krishnagiri,69,69,0,1,0,0,276,0,126,9,33,3,435,13,69,69,1,5,0,1,0,0,2,23,4,16,7,45,138,138,1,6,0,1,276,0,128,32,37,19,442,58,500
